gridiv,name,peak_T2_present,mean_T2_present,dangerous_heat_hours,type,peak_T2_future,mean_T2_future,dangerous_heat_hours_future,delta_hours,delta_pct
1,Jade Gardens,38.14938264283291,29.425812310090915,75.0,refuge,40.67,31.93,513.0,438.0,584.0
4,Kampong Lama,37.38396851763299,29.43212514903724,68.0,hotspot,39.92,31.93,506.5,438.5,644.8529411764706
3,Taman Melati,37.68154018850389,29.3764763344116,62.75,refuge,40.2,31.88,466.5,403.75,643.4262948207171
5,Dhobi Lines,36.90637319499873,29.348034820056988,44.0,hotspot,39.44,31.85,424.0,380.0,863.6363636363636
9,Fuzhou Lanes,36.70505932619149,29.304011403522285,36.25,hotspot,39.24,31.81,394.8,358.55,989.1034482758622
2,Serendib Rise,36.762890532851024,29.282056791583965,31.0,refuge,39.28,31.79,373.5,342.5,1104.8387096774195
7,Mlima Moto,35.586288683250686,29.17679910103724,5.0,hotspot,38.11,31.68,276.5,271.5,5430.0
6,Lusitano Square,35.33590943481935,29.139575913615538,4.25,core,37.86,31.64,237.0,232.75,5476.470588235295
8,Victoria Exchange,35.11220951254483,29.11283720795037,2.75,core,37.63,31.61,217.8,215.05,7820.0
10,Zheng He Towers,34.37205857515201,29.028677724873912,0.0,core,36.89,31.53,132.0,132.0,0.0
